Exchange,Symbol,Shortname
NMS,LNT,Alliant Energy Corporation
NYQ,IRM,Iron Mountain Incorporated (Del
NYQ,CAG,"ConAgra Brands, Inc."
NYQ,ATO,Atmos Energy Corporation
NYQ,XYL,Xylem Inc.
NYQ,PEAK,"Healthpeak Properties, Inc."
NMS,LKQ,LKQ Corporation
NYQ,OMC,Omnicom Group Inc.
NYQ,PKG,Packaging Corporation of Americ
NYQ,NVR,"NVR, Inc."
NYQ,FMC,FMC Corporation
NYQ,CAH,"Cardinal Health, Inc."
NMS,TTWO,"Take-Two Interactive Software, "
NYQ,TXT,Textron Inc.
NYQ,AES,The AES Corporation
NMS,HST,Host Hotels
NYQ,EMN,Eastman Chemical Company
NMS,UAL,"United Airlines Holdings, Inc."
NYQ,AVY,Avery Dennison Corporation
NYQ,LDOS,"Leidos Holdings, Inc."
NYQ,IEX,IDEX Corporation
NYQ,TYL,"Tyler Technologies, Inc."
NYQ,UDR,"UDR, Inc."
NYQ,CPT,Camden Property Trust
NYQ,RCL,D/B/A Royal Caribbean Cruises L
NYQ,FDS,FactSet Research Systems Inc.
NMS,NLOK,NortonLifeLock Inc.
NMS,TECH,Bio-Techne Corp
NMS,VTRS,Viatris Inc.
NYQ,KIM,Kimco Realty Corporation
NYQ,SJM,J.M. Smucker Company (The) New
NYQ,CPB,Campbell Soup Company
NYQ,DPZ,Domino's Pizza Inc
NYQ,MAS,Masco Corporation
NMS,CHRW,"C.H. Robinson Worldwide, Inc."
NMS,JKHY,"Jack Henry & Associates, Inc."
NMS,PTC,PTC Inc.
NMS,SBNY,Signature Bank
NYQ,BEN,"Franklin Resources, Inc."
NYQ,TFX,Teleflex Incorporated
NYQ,WRK,Westrock Company
NMS,NDSN,Nordson Corporation
NYQ,WRB,W.R. Berkley Corporation
NYQ,NI,NiSource Inc
NYQ,CRL,Charles River Laboratories Inte
NYQ,IPG,"Interpublic Group of Companies,"
NMS,CTXS,"Citrix Systems, Inc."
NMS,QRVO,"Qorvo, Inc."
NMS,HAS,"Hasbro, Inc."
